CODE,HEX,DESCRIPTION
CE-108777-0,0x80D90008,SCE_APP_CONTENT_ERROR_NO_SPACE
CE-108774-7,0x80D90005,SCE_APP_CONTENT_ERROR_NOT_FOUND
CE-108770-3,0x80D90001,SCE_APP_CONTENT_ERROR_NOT_INITIALIZED
CE-108773-6,0x80D90004,SCE_APP_CONTENT_ERROR_NOT_MOUNTED
CE-108778-1,0x80D90009,SCE_APP_CONTENT_ERROR_NOT_SUPPORTED
CE-108785-9,0x80D90010,SCE_APP_CONTENT_ERROR_OF_MEMORY
CE-108782-6,0x80D9000D,SCE_APP_CONTENT_ERROR_OTHER_APPLICATION_PKG
CE-108771-4,0x80D90002,SCE_APP_CONTENT_ERROR_PARAMETER
CE-108789-3,0x80D90014,SCE_APP_CONTENT_ERROR_SIGNED_OUT
CE-108790-5,0x80D90015,SCE_APP_CONTENT_ERROR_UNSUPPORTED_COMPRESSION_FORMAT
CE-107573-3,0x80A31000,SCE_APP_INST_UTIL_ERROR_NOT_INITIALIZED
CE-107574-4,0x80A31001,SCE_APP_INST_UTIL_ERROR_OUT_OF_MEMORY
CE-107551-9,0x80A30032,SCE_APP_INSTALLER_ERROR_ACCESS_FAILED_IN_EXTERNAL_HDD
CE-118852-5,0x80A3005F,SCE_APP_INSTALLER_ERROR_ACCESS_FAILED_IN_M2_SSD
CE-107535-1,0x80A30022,SCE_APP_INSTALLER_ERROR_ADDCONT_ALREADY_INSTALLED
CE-107518-2,0x80A3000B,SCE_APP_INSTALLER_ERROR_ADDCONT_BROKEN
CE-107534-0,0x80A30021,SCE_APP_INSTALLER_ERROR_ADDCONT_IS_INSTALLING
CE-107515-9,0x80A30008,SCE_APP_INSTALLER_ERROR_APP_BROKEN
CE-107519-3,0x80A3000C,SCE_APP_INSTALLER_ERROR_APP_IS_RUNNING
CE-107531-7,0x80A30018,SCE_APP_INSTALLER_ERROR_APP_MOUNTED_BY_HOST_TOOL
CE-107511-5,0x80A30004,SCE_APP_INSTALLER_ERROR_APP_NOT_FOUND
CE-107524-9,0x80A30011,SCE_APP_INSTALLER_ERROR_APP_VER
CE-107528-3,0x80A30015,SCE_APP_INSTALLER_ERROR_BUSY
CE-107526-1,0x80A30013,SCE_APP_INSTALLER_ERROR_CANCELED
CE-107566-5,0x80A30058,SCE_APP_INSTALLER_ERROR_CANNOT_ADD_DLADDCONT
CE-107565-4,0x80A30057,SCE_APP_INSTALLER_ERROR_CANNOT_ADD_DLAPP
CE-107536-2,0x80A30023,SCE_APP_INSTALLER_ERROR_CANNOT_READ_DISC
CE-107549-6,0x80A30030,SCE_APP_INSTALLER_ERROR_COMPILATION_DISC_INSERTED
CE-107550-8,0x80A30031,SCE_APP_INSTALLER_ERROR_COMPILATION_DISC_INSERTED_NOT_VISIBLE_DISC_ICON
CE-107522-7,0x80A3000F,SCE_APP_INSTALLER_ERROR_CONTENT_ID_DISAGREE
CE-107537-3,0x80A30024,SCE_APP_INSTALLER_ERROR_DATA_DISC_NOT_INSTALLED
CE-107525-0,0x80A30012,SCE_APP_INSTALLER_ERROR_DB_DISABLE
CE-107512-6,0x80A30005,SCE_APP_INSTALLER_ERROR_DISC_NOT_INSERTED
CE-107563-2,0x80A30055,SCE_APP_INSTALLER_ERROR_DISCAPP_ALREADY_INSTALLED
CE-107568-7,0x80A3005A,SCE_APP_INSTALLER_ERROR_DLADDCONT_ALREADY_INSTALLING
CE-107529-4,0x80A30016,SCE_APP_INSTALLER_ERROR_DLAPP_ALREADY_INSTALLED
CE-107567-6,0x80A30059,SCE_APP_INSTALLER_ERROR_DLAPP_ALREADY_INSTALLING
CE-107553-1,0x80A30034,SCE_APP_INSTALLER_ERROR_DUPLICATION
CE-107560-9,0x80A30052,SCE_APP_INSTALLER_ERROR_ENTITLEMENT_NO_ENT
CE-107559-7,0x80A30051,SCE_APP_INSTALLER_ERROR_ENTITLEMENT_NO_META
CE-107564-3,0x80A30056,SCE_APP_INSTALLER_ERROR_ENTITLEMENT_UNSUPPORTED_PACKAGE_TYPE
CE-107527-2,0x80A30014,SCE_APP_INSTALLER_ERROR_ENTRYDIGEST
CE-107544-1,0x80A3002B,SCE_APP_INSTALLER_ERROR_INSTALL_BLANK_SLOT
CE-107545-2,0x80A3002C,SCE_APP_INSTALLER_ERROR_INSTALL_LINK_SLOT
CE-107541-8,0x80A30028,SCE_APP_INSTALLER_ERROR_INSTALL_MAIN_MISSING
CE-107546-3,0x80A3002D,SCE_APP_INSTALLER_ERROR_INSTALL_PKG_NOT_COMPLETED
CE-107542-9,0x80A30029,SCE_APP_INSTALLER_ERROR_INSTALL_TIME_VALID_IN_FUTURE
CE-107532-8,0x80A30019,SCE_APP_INSTALLER_ERROR_INVALID_PATCH_PKG
CE-107554-2,0x80A30035,SCE_APP_INSTALLER_ERROR_INVALID_STATE
CE-107552-0,0x80A30033,SCE_APP_INSTALLER_ERROR_MOVE_FAILED_SOME_APPLICATIONS
CE-107530-6,0x80A30017,SCE_APP_INSTALLER_ERROR_NEED_ADDCONT_INSTALL
CE-107533-9,0x80A30020,SCE_APP_INSTALLER_ERROR_NEED_ADDCONT_INSTALL_NO_CHANGE_TYPE
CE-107557-5,0x80A30038,SCE_APP_INSTALLER_ERROR_NEED_PLAY_DISC_INSTALL
CE-107540-7,0x80A30027,SCE_APP_INSTALLER_ERROR_NO_SLOT_INFORMATION
CE-107539-5,0x80A30026,SCE_APP_INSTALLER_ERROR_NO_SLOT_SPACE
CE-107509-2,0x80A30002,SCE_APP_INSTALLER_ERROR_NOSPACE
CE-107555-3,0x80A30036,SCE_APP_INSTALLER_ERROR_NOSPACE_DISC
CE-107556-4,0x80A30037,SCE_APP_INSTALLER_ERROR_NOSPACE_DISC_IN_EXTERNAL_HDD
CE-107547-4,0x80A3002E,SCE_APP_INSTALLER_ERROR_NOSPACE_IN_EXTERNAL_HDD
CE-107523-8,0x80A30010,SCE_APP_INSTALLER_ERROR_NOSPACE_KERNEL
CE-107548-5,0x80A3002F,SCE_APP_INSTALLER_ERROR_NOSPACE_KERNEL_IN_EXTERNAL_HDD
CE-107569-8,0x80A3005B,SCE_APP_INSTALLER_ERROR_NOT_IMPLEMENTED
CE-107521-6,0x80A3000E,SCE_APP_INSTALLER_ERROR_NOT_INSTALL
CE-107558-6,0x80A30039,SCE_APP_INSTALLER_ERROR_NOT_MOUNTED
CE-107571-1,0x80A3005D,SCE_APP_INSTALLER_ERROR_NOT_SUPPORTED_IN_RELEASE_MODE
CE-107538-4,0x80A30025,SCE_APP_INSTALLER_ERROR_NOT_TRANSFER_DISC_VERSION
CE-107514-8,0x80A30007,SCE_APP_INSTALLER_ERROR_OUT_OF_MEMORY
CE-107510-4,0x80A30003,SCE_APP_INSTALLER_ERROR_PARAM
CE-107516-0,0x80A30009,SCE_APP_INSTALLER_ERROR_PKG_INVALID_CONTENT_TYPE
CE-107513-7,0x80A30006,SCE_APP_INSTALLER_ERROR_PKG_INVALID_DRM_TYPE
CE-107561-0,0x80A30053,SCE_APP_INSTALLER_ERROR_PREORDER_BEFORE_DOWNLOADBLE_DATE
CE-107562-1,0x80A30054,SCE_APP_INSTALLER_ERROR_PREORDER_DOWNLOADABLE_DATE_EMPTY
CE-107572-2,0x80A3005E,SCE_APP_INSTALLER_ERROR_PS4_BLACK_LIST
CE-107570-0,0x80A3005C,SCE_APP_INSTALLER_ERROR_SAME_APPLICATION_ALREADY_INSTALLED_FOR_DISC
CE-107543-0,0x80A3002A,SCE_APP_INSTALLER_ERROR_SYSTEM_FILE_DISAGREE
CE-107520-5,0x80A3000D,SCE_APP_INSTALLER_ERROR_SYSTEM_VERSION
CE-107508-1,0x80A30001,SCE_APP_INSTALLER_ERROR_UNKNOWN
CE-107517-1,0x80A3000A,SCE_APP_INSTALLER_ERROR_USED_APP_NOT_FOUND
CE-108606-1,0x80C50001,SCE_APP_MESSAGING_ERROR_INTERNAL
CE-108611-7,0x80C50006,SCE_APP_MESSAGING_ERROR_NO_MEMORY
CE-108610-6,0x80C50005,SCE_APP_MESSAGING_ERROR_NO_MESSAGE
CE-108612-8,0x80C50007,SCE_APP_MESSAGING_ERROR_NO_SUCH_APP
CE-108609-4,0x80C50004,SCE_APP_MESSAGING_ERROR_NULL_POINTER
CE-108608-3,0x80C50003,SCE_APP_MESSAGING_ERROR_PAYLOAD_SIZE_TOO_LARGE
CE-108607-2,0x80C50002,SCE_APP_MESSAGING_ERROR_UNAVAILABLE
CE-118108-9,0x80F51900,SCE_APPBROWSE_ERROR_DBCMD_ADDON_CHECK_USER_ADDON
CE-118109-0,0x80F51901,SCE_APPBROWSE_ERROR_DBCMD_ADDON_COUNT_USER_ADDON
CE-118110-2,0x80F51902,SCE_APPBROWSE_ERROR_DBCMD_ADDON_DELETE_ADDON
CE-118111-3,0x80F51903,SCE_APPBROWSE_ERROR_DBCMD_ADDON_GET_ACTIVE_DATE_ADDON
CE-118112-4,0x80F51904,SCE_APPBROWSE_ERROR_DBCMD_ADDON_GET_ADDON
CE-118113-5,0x80F51905,SCE_APPBROWSE_ERROR_DBCMD_ADDON_GET_TITLE_ADDON_ENTITLEMENT_NO_ADDON
CE-118114-6,0x80F51906,SCE_APPBROWSE_ERROR_DBCMD_ADDON_GET_TITLE_HAVING_ADDON_NO_ENTITLEMENT
CE-118115-7,0x80F51907,SCE_APPBROWSE_ERROR_DBCMD_ADDON_GET_TITLE_HAVING_ADDON_WITH_ENTITLEMENT
CE-118116-8,0x80F51908,SCE_APPBROWSE_ERROR_DBCMD_ADDON_INSERT_ADDON
CE-118078-5,0x80F51800,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_DELETE_HOOK
CE-118079-6,0x80F51801,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_GET_APPEARANCE_CONTROL_ITEM
CE-118080-8,0x80F51802,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_GET_INIT_ORDER
CE-118081-9,0x80F51803,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_GET_RELATED_TITLEID
CE-118082-0,0x80F51804,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_GO_WEST_BY_INIT_ORDER
CE-118083-1,0x80F51805,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_REFRECT_CONTENT_INFO_TO_ICON_INFO
CE-118084-2,0x80F51806,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_SET_INIT_ORDER
CE-118085-3,0x80F51807,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_UPDATE_APPEARANCE_CONTROL_ITEM
CE-118086-4,0x80F51808,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_UPDATE_CONCEPT_ICON_ITEM
CE-118087-5,0x80F51809,SCE_APPBROWSE_ERROR_DBCMD_APPEARANCE_UPDATE_CONCEPT_ICON_LAST_ACCESS
